"deeplink","Domain","host","tld","domaincc","keywords","LE","BL","DP","LP","CCP","IPP","ABY","ACR","WBY","Registrar","Alexa","QCR","Dmoz","Add Date","C","N","O","B","I","D","US","COM.AU","CA","UK","CO.UK","CO","EU","IN","CO.IN","AT","CH","BE","NL","DK","FR","PL","ES","PT","IT","ME","TV","IO","CN","RU","SE","NU","TLDs Reg","TLDs Reg32","TLDs Free32","SG","CO","CPC","SDE","CODE","CPCDE","SUS","COUS","CPCUS","SUK","COUK","CPCUK","MMGR","MMIP","MMCP","SQI","NFB","NTW","CF","TF","TR","MBL","MIU","MCU","MDP","MIP","MCP","TTF","MODE","MOLE","MOLI","MOLP","MRDL","MRDF","MRDH","MRDD","MRDS","ML","MLTP","MRL","MRLP","MDPE","MBLE","MDPG","MBLG","MDPEE","MBLEE","MDPGE","MBLGE","SRUSR","SRUSK","SRUST","SRUSC","RDT","RDS","RDE","RDT COM","RDS COM","RDE COM","RDT CNO","RDS CNO","RDE CNO","WPL","GEO","GEOC","GEOD","Dropped","Status",
"https://www.expireddomains.net/goto/1/4hml9v/489/?tr=export","pereoigus.ee","pereoigus","ee","pereoigus.ee","Pere OiGus","9","7","0","0","0","0","2015-06-30","20","2011-09-30","Zone Media OÜ","0","0","no","1542373983","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","taken","3","0","0.00","7","7","2","2","2","2","-","0","0","0","0","2","0","0","2","0","","0","[Estonian - 100.00%]","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-16 13:13","available",
"https://www.expireddomains.net/goto/1/5v0u3l/489/?tr=export","sakias.ee","sakias","ee","SakiAs.ee","Saki As","6","7","0","0","0","0","2008-03-25","12","2010-07-04","Telia Eesti AS","0","0","no","1542805984","registered","registered","available","available","available","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","3","3","29","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","taken","5","0","0.00","7","2","2","3","3","3","-","0","0","0","0","3","3","0","3","1","","0","[Estonian - 85.70%], [English - 14.20%]","7","0","0","0","0","0","0","0","0","0","0","0","0","11","7","4","8","6","3","11","7","4","0","","","","2018-11-21 13:13","available",
"https://www.expireddomains.net/goto/1/1xdlwn/489/?tr=export","discounter.ee","discounter","ee","Discounter.ee","Discounter","10","5","0","0","0","0","2007-01-04","50","2017-09-30","Zone Media OÜ","0","0","no","1542287643","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","available","registered","registered","available","registered","registered","registered","registered","available","66","28","4","27100","3","0.35 USD","18100","2","0.77 EUR","170","9","0.00 USD","110","0","0.00 GBP","0","0","0","0","taken","taken","3","0","0.00","5","3","2","2","2","2","-","0","0","0","0","1","1","0","2","2","","0","[Estonian - 80.00%], [Russian - 20.00%]","5","0","0","0","0","0","0","0","0","0","0","0","0","2136","165","1971","1805","132","1674","2046","155","1891","0","","","","2018-11-15 13:14","available",
"https://www.expireddomains.net/goto/1/aytb38/489/?tr=export","autoblogi.ee","autoblogi","ee","autoblogi.ee","autoblogi","9","4","1","2","1","1","2016-11-12","10","2016-09-30","Elkdata OÜ","0","0","no","1542287643","available","available","available","available","available","available","available","available","available","available","available","available","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","registered","available","available","3","2","30","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","available","0","0","0.00","4","5","4","2","2","2","-","1","1","0","2","1","2","0","2","0","","0","[Estonian - 100.00%]","4","0","0","0","0","0","0","0","0","0","0","0","0","11","10","1","11","10","1","11","10","1","0","","","","2018-11-15 13:14","available",
"https://www.expireddomains.net/goto/1/8gb1ny/489/?tr=export","chino.ee","chino","ee","Chino.ee","Chino","5","3","0","0","0","0","2013-07-13","11","2010-07-04","Zone Media OÜ","0","0","no","1542892442","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","81","30","2","301000","82","1.37 USD","9900","90","1.40 EUR","60500","92","2.14 USD","18100","100","1.56 GBP","0","0","0","0","available","taken","3","0","0.00","3","2","1","2","1","1","-","0","0","0","0","2","0","0","2","0","","0","[Estonian - 100.00%]","3","0","0","0","0","0","0","0","0","0","0","0","0","6323","3699","2624","5312","3091","2222","6131","3594","2537","0","DI","JP US","chino>jp-city|us-city","2018-11-22 13:14","available",
"https://www.expireddomains.net/goto/1/8hfhps/489/?tr=export","torra.ee","torra","ee","Torra.ee","Torra","5","3","0","0","0","0","2013-08-17","7","2010-07-04","Zone Media OÜ","0","0","no","1542374044","registered","registered","registered","registered","registered","registered","registered","available","registered","available","registered","registered","registered","registered","registered","available","available","available","registered","available","registered","registered","registered","registered","registered","available","available","available","available","registered","registered","available","27","21","11","22200","0","0.02 USD","260","0","0.00 EUR","880","3","0.00 USD","210","0","0.00 GBP","0","0","0","0","available","taken","0","0","0.00","3","2","2","2","1","1","-","0","0","0","0","2","0","0","2","0","","0","[Estonian - 100.00%]","3","0","0","0","0","0","0","0","0","0","0","0","0","2248","2049","199","1900","1747","154","2180","1996","184","0","","","","2018-11-16 13:14","available",
"https://www.expireddomains.net/goto/1/72p1v4/489/?tr=export","sindipesumaja.ee","sindipesumaja","ee","sindipesumaja.ee","Sin Dip EsUma Ja","13","3","1","1","1","1","2017-09-27","9","2014-10-01","Elkdata OÜ","0","0","no","1542374043","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","available","0","0","0.00","3","2","2","2","2","2","-","0","0","0","0","2","2","0","2","1","","0","[Estonian - 100.00%]","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-16 13:14","available",
"https://www.expireddomains.net/goto/1/3ymari/489/?tr=export","chinaconsulting.ee","chinaconsulting","ee","ChinaConsulting.ee","China Consulting","15","2","0","0","0","0","2013-04-05","19","0000-00-00","","0","0","no","1542292083","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","available","available","available","available","registered","available","registered","registered","available","available","registered","available","available","available","available","available","registered","registered","available","registered","22","18","14","12100","4","3.55 USD","140","33","3.48 EUR","8100","3","4.58 USD","390","8","2.54 GBP","0","0","0","0","taken","taken","0","0","0.00","2","211","211","1","1","1","-","2","10","1","2","1","1","0","1","1","[Estonian - 100.00%]","0","[English - 50.00%], [Estonian - 50.00%]","0","0","0","0","0","0","0","0","0","0","0","0","0","53","12","41","43","8","36","49","10","39","0","PA","CN US CA","consul>ca-city china>cn-country|us-city","2018-11-15 14:28","available",
"https://www.expireddomains.net/goto/1/62yxhp/489/?tr=export","kavo.ee","kavo","ee","kavo.ee","Kavo","4","1","0","0","0","0","2016-01-09","4","2015-10-04","Elkdata OÜ","0","0","no","1542633242","registered","registered","registered","registered","registered","registered","registered","available","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","available","available","registered","registered","registered","available","58","26","6","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","taken","0","0","0.00","1","3","2","1","1","1","-","0","0","0","0","1","0","0","1","0","","0","[English - 100.00%]","1","0","0","0","0","0","0","0","0","0","0","0","0","883","785","98","715","639","77","842","752","90","0","","","","2018-11-19 13:14","available",
"https://www.expireddomains.net/goto/1/72y7ua/489/?tr=export","inimestepuu.ee","inimestepuu","ee","inimestepuu.ee","In Ime Step Uu","11","1","1","1","1","1","2016-07-11","4","2015-10-06","Elkdata OÜ","0","0","no","1542805984","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","0","0","0.00","1","1","1","1","1","1","-","1","1","0","1","0","1","0","1","0","","0","[Estonian - 100.00%]","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-21 13:13","available",
