web-scraper-order,web-scraper-start-url,domainLink,domainLink-href,siteName,Category
"1540623160-890","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","clanpixel.com","https://www.snapnames.com/domain/clanpixel.com.action","clanpixel.com","Technology > Tech"
"1540623488-990","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","appcatering.com","https://www.snapnames.com/domain/appcatering.com.action","appcatering.com","FoodAndDrink > Food"
"1540623080-864","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","cyber-poker.com","https://www.snapnames.com/domain/cyber-poker.com.action","cyber-poker.com","Entertainment > Gambling"
"1540622221-587","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","mugtees.com","https://www.snapnames.com/domain/mugtees.com.action","mugtees.com","Sports > Golf"
"1540622801-774","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","fishingworms.net","https://www.snapnames.com/domain/fishingworms.net.action","fishingworms.net","PlantsAndAnimals > Animals"
"1540622434-655","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","ladpcs.com","https://www.snapnames.com/domain/ladpcs.com.action","ladpcs.com","Technology > Computers"
"1540622676-733","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","goodskiosk.com","https://www.snapnames.com/domain/goodskiosk.com.action","goodskiosk.com","Shopping > Shopping"
"1540623259-921","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","cabanacat.com","https://www.snapnames.com/domain/cabanacat.com.action","cabanacat.com","Transportation > Travel"
"1540622336-623","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","mapstourism.com","https://www.snapnames.com/domain/mapstourism.com.action","mapstourism.com","Transportation > Travel"
"1540622044-530","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","petslime.com","https://www.snapnames.com/domain/petslime.com.action","petslime.com","FoodAndDrink > Food"
"1540622970-828","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","doors-safety.com","https://www.snapnames.com/domain/doors-safety.com.action","doors-safety.com","HomeAndGarden > Home"
"1540623126-879","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","coolrobe.com","https://www.snapnames.com/domain/coolrobe.com.action","coolrobe.com","ClothingAndAccessories > Clothing"
"1540622731-751","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","fundtreat.com","https://www.snapnames.com/domain/fundtreat.com.action","fundtreat.com","Finance > Finance"
"1540622850-790","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","eyephp.com","https://www.snapnames.com/domain/eyephp.com.action","eyephp.com","Technology > Software"
"1540622774-765","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","foodpraise.com","https://www.snapnames.com/domain/foodpraise.com.action","foodpraise.com","FoodAndDrink > Food"
"1540623102-871","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","cpatrial.com","https://www.snapnames.com/domain/cpatrial.com.action","cpatrial.com","Finance > Finance"
"1540622945-820","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","earsmoke.com","https://www.snapnames.com/domain/earsmoke.com.action","earsmoke.com","Health > Health"
